,Total_Transaction_Value,Unique_Invoice_Count,Average_Invoice_Value,Recency_Days,Monthly_Value_CV,Reliability_Score
Total_Transaction_Value,1.0,0.6158783845964184,0.251335165944056,-0.13052884781417673,-0.16043005557413917,0.07185389723089428
Unique_Invoice_Count,0.6158783845964184,1.0,0.07080557566981063,-0.25716983572489416,-0.3201148012896262,0.09965224063157048
Average_Invoice_Value,0.251335165944056,0.07080557566981063,1.0,-0.08903441925547363,0.0064735672875216145,0.08650920808496011
Recency_Days,-0.13052884781417673,-0.25716983572489416,-0.08903441925547363,1.0,0.7737169637101831,-0.07251175776128227
Monthly_Value_CV,-0.16043005557413917,-0.3201148012896262,0.0064735672875216145,0.7737169637101831,1.0,-0.07962620979147313
Reliability_Score,0.07185389723089428,0.09965224063157048,0.08650920808496011,-0.07251175776128227,-0.07962620979147313,1.0
