k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,24014.37834169948,0.3271810623245567,1.2517691547178131,2878.59470591832
3,19640.7034317594,0.33403839498988164,1.002099440941133,2420.7810014701663
4,15694.509139617197,0.2664147373109947,1.1539032487821645,2516.97397597585
5,12618.808336993994,0.30341596795614345,1.004441065140816,2709.2110295068273
6,11283.424562070364,0.30009844915954353,1.0440322832425049,2563.9838657518303
7,10211.280128409693,0.2662674023003248,1.1416846134629666,2464.4510301733612
8,9316.099472503389,0.2606729267804159,1.1078414481944434,2396.433620299607
